year,counts
1966, 30 436
1967, 32 956
1968, 32 922
1969, 43 733
1970, 51 835
1971, 42 593
1972, 48 159
1973, 49 142
1974, 46 047
1975, 51 539
1976, 63 524
1977, 44 221
1978, 44 136
1979, 52 331
1980, 46 645
1981, 44 331
1982, 45 215
1983, 50 549
1984, 51 076
1985, 50 326
1986, 46 070
1987, 43 268
1988, 47 733
1989, 56 893
1990, 55 994
1991, 44 184
1992, 41 638
1993, 46 543
1994, 47 693
1995, 55 962
1996, 51 959
1997, 47 678
1998, 41 071
1999, 46 455
2000, 48 554
2001, 55 063
2002, 48 544
2003, 58 233
2004, 40 883
2005, 40 441
2006, 37 113
2007, 33 084
2008, 29 653
2009, 29 591
2010, 27 467
2011, 26 847
2012, 21 443
2013, 21 158
2014, 19 622
2015, 20 923
2016, 20 391
2017, 19 863
2018, 19 675
2019, 17 993
2020, 17 411
